	raw_input	valid	latency_ms	max_token_limit	used_tokens_out	reason	json_obj
10	"
TECH Device and App FAMILIARITY
What is your level of familiarity with Wearable Fitness Trackers?
Have not heard of this
Have heard of it, but don’t understand it
Have heard of, and have some understanding of it
Have a complete understanding of this product or app
"	1	145601.81	400	319		{"question_type": "Single choice","question_id": "TECH","question_title": "TECH Device and App FAMILIARITY","question_text": "What is your level of familiarity with Wearable Fitness Trackers?","entry_condition": "","programming_instruction": "","min": "","max": "","response_options": [{"response_text": "Have not heard of this","response_id": "1","anchor": "False","other_specify": "False","mutually_exclusive": "False","terminate": "False"}, {"response_text": "Have heard of, but don't understand it","response_id": "2","anchor": "False","other_specify": "False","mutually_exclusive": "False","terminate": "False"}, {"response_text": "Have heard of, and have some understanding of it","response_id": "3","anchor": "False","other_specify": "False","mutually_exclusive": "False","terminate": "False"}, {"response_text": "Have a complete understanding of this product or app","response_id": "4","anchor": "False","other_specify": "False","mutually_exclusive": "False","terminate": "False"}]}
11	"
Thank you for your time! We have a few more questions for classification purposes.
"	1	6025.76	400	5	non_question	{}
12	"
Additional Demo Information 
D1) MARITAL STATUS
What is your marital status?
Single, never married
Living with partner
Married
Separated/Divorced/Widowed
"	1	122789.37	400	292		{"question_type": "Single choice","question_id": "D1","question_title": "MARITAL STATUS","question_text": "What is your marital status?","entry_condition": "","programming_instruction": "","min": "","max": "","response_options": [{"response_text": "Single, never married","response_id": "1","anchor": "False","other_specify": "False","mutually_exclusive": "False","terminate": "False"}, {"response_text": "Living with partner","response_id": "2","anchor": "False","other_specify": "False","mutually_exclusive": "False","terminate": "False"}, {"response_text": "Married","response_id": "3","anchor": "False","other_specify": "False","mutually_exclusive": "False","terminate": "False"}, {"response_text": "Separated/Divorced/Widowed","response_id": "4","anchor": "False","other_specify": "False","mutually_exclusive": "False","terminate": "False"}]}
13	"
D2) HISPANIC
Are you of Hispanic or Latino descent?
Yes
No
"	1	75414.8	400	179		{"question_type": "Single choice","question_id": "D2","question_title": "HISPANIC","question_text": "Are you of Hispanic or Latino descent?","entry_condition": "","programming_instruction": "","min": "","max": "","response_options": [{"response_text": "Yes","response_id": "1","anchor": "False","other_specify": "False","mutually_exclusive": "False","terminate": "False"}, {"response_text": "No","response_id": "2","anchor": "False","other_specify": "False","mutually_exclusive": "False","terminate": "False"}]}
14	"
D3) ETHNICITY
What is your ethnicity? 
Asian or Pacific Islander
Black or African American
Caucasian / White
Native American, Eskimo or Aleut
Mixed
Other
"	1	157035.71	400	393		{"question_type": "Single choice","question_id": "D3","question_title": "ETHNICITY","question_text": "What is your ethnicity?","entry_condition": "","programming_instruction": "","min": "","max": "","response_options": [{"response_text": "Asian or Pacific Islander","response_id": "1","anchor": "False","other_specify": "False","mutually_exclusive": "False","terminate": "False"}, {"response_text": "Black or African American","response_id": "2","anchor": "False","other_specify": "False","mutually_exclusive": "False","terminate": "False"}, {"response_text": "Caucasian / White","response_id": "3","anchor": "False","other_specify": "False","mutually_exclusive": "False","terminate": "False"}, {"response_text": "Native American, Eskimo or Aleut","response_id": "4","anchor": "False","other_specify": "False","mutually_exclusive": "False","terminate": "False"}, {"response_text": "Mixed","response_id": "5","anchor": "False","other_specify": "False","mutually_exclusive": "False","terminate": "False"}, {"response_text": "Other","response_id": "6","anchor": "False","other_specify": "False","mutually_exclusive": "False","terminate": "False"}]}
15	"
D4) KIDS 
Are there any children under age 18 living in your household?
Yes
No
"	1	71459.03	400	180		{"question_type": "Single choice","question_id": "D4","question_title": "KIDS","question_text": "Are there any children under age 18 living in your household?","entry_condition": "","programming_instruction": "","min": "","max": "","response_options": [{"response_text": "Yes","response_id": "1","anchor": "False","other_specify": "False","mutually_exclusive": "False","terminate": "False"}, {"response_text": "No","response_id": "2","anchor": "False","other_specify": "False","mutually_exclusive": "False","terminate": "False"}]}
16	"
Ask D4A if selected “Yes” in D4
D4A) KIDS AGE
Are there any children under age 18 living in your household?
Yes
No
"	1	81122.95	400	197		{"question_type": "Single choice","question_id": "D4A","question_title": "KIDS AGE","question_text": "Are there any children under age 18 living in your household?","entry_condition": "Ask D4A if selected “Yes” in D4","programming_instruction": "","min": "","max": "","response_options": [{"response_text": "Yes","response_id": "1","anchor": "False","other_specify": "False","mutually_exclusive": "False","terminate": "False"}, {"response_text": "No","response_id": "2","anchor": "False","other_specify": "False","mutually_exclusive": "False","terminate": "False"}]}
17	"
D5) EDUCATION
What is the highest level of education you have completed?
Middle School 
High School  
Some College / No Degree  
Associates Degree
Bachelors Degree
Graduate Degree
"	1	156931.13	400	396		{"question_type": "Single choice","question_id": "D5","question_title": "EDUCATION","question_text": "What is the highest level of education you have completed?","entry_condition": "","programming_instruction": "","min": "","max": "","response_options": [{"response_text": "Middle School","response_id": "1","anchor": "False","other_specify": "False","mutually_exclusive": "False","terminate": "False"}, {"response_text": "High School","response_id": "2","anchor": "False","other_specify": "False","mutually_exclusive": "False","terminate": "False"}, {"response_text": "Some College / No Degree","response_id": "3","anchor": "False","other_specify": "False","mutually_exclusive": "False","terminate": "False"}, {"response_text": "Associates Degree","response_id": "4","anchor": "False","other_specify": "False","mutually_exclusive": "False","terminate": "False"}, {"response_text": "Bachelors Degree","response_id": "5","anchor": "False","other_specify": "False","mutually_exclusive": "False","terminate": "False"}, {"response_text": "Graduate Degree","response_id": "6","anchor": "False","other_specify": "False","mutually_exclusive": "False","terminate": "False"}]}
18	"
D6) EMPLOYMENT
Which of the following best describes your employment status? 
Employed Full Time (at least 35 hours per week)
Employed Part Time (less than 35 hours per week)
Self-employed 
Unemployed
Retired
Student
Prefer not to answer
"	1	313452.94	1400	461		{"question_type": "Single choice","question_id": "D6","question_title": "EMPLOYMENT","question_text": "Which of the following best describes your employment status?","entry_condition": "","programming_instruction": "","min": "","max": "","response_options": [{"response_text": "Employed Full Time (at least 35 hours per week)","response_id": "1","anchor": "False","other_specify": "False","mutually_exclusive": "False","terminate": "False"}, {"response_text": "Employed Part Time (less than 35 hours per week)","response_id": "2","anchor": "False","other_specify": "False","mutually_exclusive": "False","terminate": "False"}, {"response_text": "Self-employed","response_id": "3","anchor": "False","other_specify": "False","mutually_exclusive": "False","terminate": "False"}, {"response_text": "Unemployed","response_id": "4","anchor": "False","other_specify": "False","mutually_exclusive": "False","terminate": "False"}, {"response_text": "Retired","response_id": "5","anchor": "False","other_specify": "False","mutually_exclusive": "False","terminate": "False"}, {"response_text": "Student","response_id": "6","anchor": "False","other_specify": "False","mutually_exclusive": "False","terminate": "False"}, {"response_text": "Prefer not to answer","response_id": "7","anchor": "False","other_specify": "False","mutually_exclusive": "False","terminate": "False"}]}
19	"
D7) HHI
Which of the following best describes your year-end 2022 annual household income?
Less than $20,000 
$20,000 - $29,999 
$30,000 - $39,999 
$40,000 - $49,999 
$50,000 - $59,999
$60,000 or more
Prefer not to answer 
"	1	339378.98	1400	499		{"question_type": "Single choice","question_id": "D7","question_title": "HHI","question_text": "Which of the following best describes your year-end 2022 annual household income?","entry_condition": "","programming_instruction": "","min": "","max": "","response_options": [{"response_text": "Less than $20,000","response_id": "1","anchor": "False","other_specify": "False","mutually_exclusive": "False","terminate": "False"}, {"response_text": "$20,000 - $29,999","response_id": "2","anchor": "False","other_specify": "False","mutually_exclusive": "False","terminate": "False"}, {"response_text": "$30,000 - $39,999","response_id": "3","anchor": "False","other_specify": "False","mutually_exclusive": "False","terminate": "False"}, {"response_text": "$40,000 - $49,999","response_id": "4","anchor": "False","other_specify": "False","mutually_exclusive": "False","terminate": "False"}, {"response_text": "$50,000 - $59,999","response_id": "5","anchor": "False","other_specify": "False","mutually_exclusive": "False","terminate": "False"}, {"response_text": "$60,000 or more","response_id": "6","anchor": "False","other_specify": "False","mutually_exclusive": "False","terminate": "False"}, {"response_text": "Prefer not to answer","response_id": "7","anchor": "False","other_specify": "False","mutually_exclusive": "False","terminate": "False"}]}
20		1	2662.93	400	5	non_question	{}
